iter	TotalF1	MultiClass
336	0.8651123864	0.3843375798
337	0.8652902707	0.3840888816
338	0.8650683117	0.3837238551
339	0.8650351927	0.383366063
340	0.8652534317	0.3831746816
341	0.8654756864	0.382860318
342	0.8654888997	0.382451238
343	0.8655675062	0.3822041275
344	0.8657979852	0.3818900261
345	0.8656161401	0.3815989976
346	0.8657111527	0.3813230915
347	0.8660617215	0.3810200614
348	0.8663324586	0.380703033
349	0.8661435676	0.3804220352
350	0.8661252932	0.3799135559
351	0.8661193907	0.3795339139
352	0.8665171732	0.3791678764
353	0.8669538629	0.3787644211
354	0.8670964636	0.3785484494
355	0.867021575	0.3782829233
356	0.8673580493	0.3779773298
357	0.867135696	0.3777676661
358	0.8674803162	0.3774406697
359	0.8674935381	0.377080393
360	0.8678491854	0.3766298516
361	0.8678959526	0.3762256554
362	0.8681726297	0.3758601505
363	0.8683365921	0.3754164822
364	0.8687573681	0.3749625434
365	0.8689469963	0.3745959261
366	0.86951559	0.3742905529
367	0.8695760247	0.3740015962
368	0.8698482125	0.3737046583
369	0.8701893682	0.3734284555
370	0.8705322416	0.3732035318
371	0.8710502743	0.373003192
372	0.8710580912	0.3727772316
373	0.8714814081	0.3722965319
374	0.8714641821	0.3720182013
375	0.8714940962	0.3716978314
376	0.8719306493	0.3713798462
377	0.8718474453	0.3709410123
378	0.8716595192	0.3706159345
379	0.8717843154	0.3703817754
380	0.8721020261	0.3701046397
381	0.8722138662	0.369938207
382	0.8720617771	0.3696472478
383	0.8723740392	0.3692211292
384	0.872070221	0.3689615978
385	0.8728159215	0.3686937644
386	0.8727030925	0.3681928233
387	0.8731072355	0.3677641839
388	0.8733863025	0.3675306135
389	0.8734736669	0.3672505841
390	0.8737068558	0.3669667994
391	0.8737406401	0.3666952204
392	0.8736028027	0.3661424468
393	0.8735088561	0.3659375107
394	0.8736134772	0.3656775721
395	0.8737510023	0.365289854
396	0.8737402972	0.3647986282
397	0.8738205176	0.3644978115
398	0.8740099211	0.3641702382
399	0.873976288	0.3637465927
400	0.8741895201	0.3635124109
401	0.8742824314	0.3631764083
402	0.8749887026	0.3627164653
403	0.8746746874	0.3624977508
404	0.8760523813	0.3620377181
405	0.8759620104	0.3617428499
406	0.8762644566	0.3614319089
407	0.8765289782	0.3612252059
408	0.8764279948	0.3609454379
409	0.8764487288	0.360726973
410	0.8760935254	0.3603549384
411	0.8762792122	0.3600650131
412	0.8767059419	0.3597957475
413	0.8764038598	0.3594944019
414	0.876328531	0.359223181
415	0.8767309873	0.3588847196
416	0.8766744287	0.3585971072
417	0.8768201494	0.3583004734
418	0.8766918363	0.35808573
419	0.8769060957	0.3577320896
420	0.877379425	0.3572054153
421	0.8774738385	0.3570095225
422	0.877452423	0.3567261679
423	0.8773322489	0.3563957175
424	0.8775077134	0.3561869399
425	0.8775544111	0.3558981695
426	0.8781693495	0.3555416508
427	0.8783815284	0.3551611503
428	0.8786145443	0.3548624248
429	0.8783660725	0.3546057711
430	0.8781035968	0.3543644136
431	0.8784048574	0.354129672
